@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {talking, drink, swallow}

@DATA
4113, 3936, 177, 22, 2.62470399279, talking
4321, 3936, 385, 20, 4.10907895713, talking
4465, 4032, 433, 17, 3.83929080957, talking
4881, 4113, 768, 21, 5.02368981841, talking
5089, 4289, 800, 26, 5.14198190568, talking
5089, 3968, 1121, 27, 5.64337960033, talking
4609, 3792, 817, 24, 4.84807912818, talking
4000, 3744, 256, 24, 3.53049228937, talking
3904, 3696, 208, 20, 2.96725639761, talking
3888, 3696, 192, 18, 2.46009083243, talking
3952, 3728, 224, 19, 2.24156876191, talking
3952, 3680, 272, 22, 2.64234056896, talking
3856, 3680, 176, 22, 2.58576911313, talking
4161, 3728, 433, 17, 3.6658086621, talking
4241, 3776, 465, 15, 4.53168418667, talking
4241, 3856, 385, 13, 4.33097140806, talking
4016, 3808, 208, 14, 3.33819013287, talking
3904, 3776, 128, 14, 2.31307663997, talking
3904, 3776, 128, 13, 2.40186982379, talking
3904, 3792, 112, 13, 2.32447076593, talking
3968, 3808, 160, 14, 3.01518455184, talking
3968, 3840, 128, 14, 2.57509682008, talking
4032, 3840, 192, 13, 3.43769177822, talking
4241, 3856, 385, 14, 3.9587244174, talking
4529, 3968, 561, 16, 4.68851790587, talking
5185, 4225, 960, 17, 5.15587299917, talking
5457, 4561, 896, 19, 5.32329710751, talking
5457, 4737, 720, 19, 5.14007370149, talking
5217, 4337, 880, 18, 5.44855780698, talking
4737, 4097, 640, 16, 5.14213990437, talking
4369, 4000, 369, 13, 4.25438419281, talking
4113, 3968, 145, 13, 3.05323765587, talking
4048, 3936, 112, 14, 2.52599677488, talking
4032, 3936, 96, 13, 2.21323233589, talking
4032, 3936, 96, 13, 2.14835206362, talking
4032, 3872, 160, 14, 3.14865921967, talking
4145, 3872, 273, 14, 3.6126002342, talking
4145, 3888, 257, 15, 3.33549838429, talking
4145, 4000, 145, 15, 2.81739741036, talking
5169, 4000, 1169, 20, 4.25590589438, talking
5169, 4865, 304, 18, 3.67179149092, talking
5153, 4865, 288, 18, 3.94400269459, talking
5041, 4801, 240, 15, 3.73109339315, talking
4897, 4801, 96, 14, 2.31988993072, talking
4897, 4785, 112, 16, 2.27462806197, talking
4913, 4785, 128, 13, 2.75871541099, talking
4961, 4833, 128, 12, 2.63989354685, talking
4993, 4849, 144, 14, 2.94085332221, talking
4993, 4785, 208, 13, 3.39968299676, talking
5761, 4785, 976, 17, 4.92078037388, talking
