@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {talking, chewing, swallow}

@DATA
11058, 10386, 672, 15, 5.1768567597, talking
11250, 10642, 608, 15, 5.00676825377, talking
14131, 11042, 3089, 24, 5.22461554798, talking
14131, 11234, 2897, 28, 6.33688705474, talking
14115, 11826, 2289, 21, 6.13335925808, talking
12707, 11826, 881, 19, 5.45747517497, talking
12611, 11794, 817, 16, 5.24293331048, talking
12066, 11794, 272, 17, 3.76710107859, talking
11954, 11570, 384, 21, 4.29858001214, talking
11890, 11378, 512, 18, 4.57100782351, talking
11650, 11298, 352, 16, 4.21540412077, talking
11730, 11298, 432, 17, 4.48382685003, talking
12018, 11410, 608, 19, 4.81000420715, talking
12018, 11298, 720, 19, 5.14663904592, talking
11794, 11298, 496, 19, 4.40320528824, talking
12034, 11442, 592, 18, 3.77937971701, talking
12066, 11570, 496, 19, 4.67008101864, talking
12066, 11650, 416, 17, 4.56922520282, talking
11922, 11650, 272, 16, 3.78967067799, talking
12066, 11650, 416, 18, 4.46372946711, talking
12066, 11762, 304, 18, 3.93368660978, talking
12066, 11762, 304, 17, 3.82961653961, talking
12002, 11762, 240, 15, 3.53763208192, talking
12066, 11778, 288, 15, 3.87553938613, talking
12066, 11938, 128, 14, 2.6884765866, talking
12242, 11938, 304, 16, 3.67040693564, talking
12242, 11906, 336, 17, 4.18422949996, talking
12178, 11906, 272, 15, 3.3656018211, talking
12098, 11890, 208, 14, 3.31999617136, talking
12098, 11842, 256, 14, 3.62487667603, talking
12034, 11842, 192, 16, 3.26500893741, talking
12146, 11810, 336, 18, 4.05605714511, talking
12146, 11682, 464, 19, 4.73191221242, talking
12130, 11682, 448, 19, 4.63706498673, talking
12242, 11778, 464, 24, 4.39942874596, talking
12242, 11698, 544, 25, 4.73327120387, talking
11906, 11682, 224, 18, 3.51386111498, talking
11954, 11682, 272, 19, 3.95608689631, talking
12018, 11666, 352, 20, 4.12588945251, talking
12018, 6545, 5473, 37, 5.77426013825, talking
11650, 6545, 5105, 24, 7.17383453698, talking
14243, 7713, 6530, 28, 7.6566474346, talking
14419, 11682, 2737, 20, 6.15033516383, talking
14419, 13651, 768, 15, 5.10074549512, talking
14051, 13571, 480, 17, 4.29407443549, talking
13699, 13331, 368, 20, 4.22112683037, talking
13587, 13251, 336, 19, 4.16679182405, talking
13411, 13251, 160, 17, 3.01331971378, talking
13411, 12963, 448, 16, 4.18335502803, talking
13331, 12643, 688, 16, 5.20658362099, talking
13011, 12643, 368, 15, 3.90428951204, talking
12915, 12739, 176, 15, 3.17693224741, talking
12963, 12707, 256, 16, 3.64029345707, talking
12995, 12595, 400, 17, 4.48540109019, talking
12995, 11490, 1505, 17, 5.32549964551, talking
12915, 9426, 3489, 18, 6.98768959663, talking
11442, 8610, 2832, 18, 6.73836245122, talking
9442, 8386, 1056, 18, 5.39208597444, talking
8802, 8177, 625, 19, 5.08760988247, talking
8754, 8177, 577, 18, 4.93240256447, talking
8754, 8113, 641, 16, 4.81756354994, talking
8530, 8113, 417, 17, 4.3646336243, talking
8530, 8194, 336, 17, 4.13332727256, talking
10578, 8194, 2384, 25, 5.16687134529, talking
10578, 8274, 2304, 26, 6.38229037008, talking
10114, 8562, 1552, 17, 5.49883816414, talking
9202, 8386, 816, 18, 4.89386724915, talking
9202, 8386, 816, 16, 5.28265557552, talking
9202, 8530, 672, 14, 4.87725918962, talking
8898, 8546, 352, 16, 4.22618443475, talking
8850, 8594, 256, 16, 3.77264904585, talking
9282, 8594, 688, 19, 4.89387024066, talking
9282, 8770, 512, 20, 4.89429773293, talking
9202, 8850, 352, 19, 4.14730724281, talking
9538, 8866, 672, 20, 4.95884278584, talking
9650, 8898, 752, 18, 4.96401299826, talking
9762, 9058, 704, 17, 4.9990584472, talking
9938, 9202, 736, 17, 5.04120022726, talking
9938, 8866, 1072, 16, 5.62383170206, talking
12595, 8866, 3729, 34, 6.12828423781, talking
15619, 10546, 5073, 28, 7.3382088727, talking
18164, 12595, 5569, 26, 7.38962788459, talking
19060, 15603, 3457, 21, 6.80302163937, talking
19124, 18164, 960, 16, 4.91346378793, talking
19220, 18948, 272, 14, 3.96701793976, talking
19428, 18196, 1232, 19, 4.62923997325, talking
19428, 14995, 4433, 27, 6.81467273722, talking
18100, 14627, 3473, 22, 6.29621689075, talking
15011, 14403, 608, 15, 4.96465591879, talking
14723, 12771, 1952, 18, 6.03396358644, talking
14419, 11234, 3185, 21, 7.02801337262, talking
12755, 10306, 2449, 20, 6.74191022288, talking
11202, 10242, 960, 20, 5.47169887226, talking
10930, 10098, 832, 19, 5.33435314891, talking
10658, 10098, 560, 16, 4.42157912224, talking
10770, 10098, 672, 15, 4.87328893316, talking
11362, 10306, 1056, 16, 5.33525316487, talking
12050, 10690, 1360, 21, 5.87281042935, talking
12611, 11394, 1217, 20, 5.88626013825, talking
13251, 12018, 1233, 16, 5.95487687547, talking
13699, 12611, 1088, 15, 5.71572119459, talking
13923, 13235, 688, 15, 5.07449106666, talking
14019, 13683, 336, 16, 4.09261643295, talking
14579, 13731, 848, 16, 5.15089324294, talking
14803, 14003, 800, 18, 4.94262852551, talking
14803, 14435, 368, 17, 4.4304665612, talking
14787, 14307, 480, 16, 4.61263947031, talking
14499, 14051, 448, 17, 4.57158578535, talking
14931, 13987, 944, 21, 5.11824481804, talking
14931, 13491, 1440, 21, 5.95157253721, talking
14419, 13491, 928, 15, 5.31418918366, talking
14435, 13827, 608, 14, 4.34995143917, talking
14451, 14163, 288, 13, 3.79294030822, talking
14947, 14163, 784, 15, 4.996330549, talking
15075, 14403, 672, 18, 4.82983992372, talking
15075, 14851, 224, 18, 3.47528021049, talking
15011, 14675, 336, 16, 4.17368808768, talking
14979, 14515, 464, 15, 4.59511225935, talking
14787, 14515, 272, 15, 3.89419007647, talking
14787, 4737, 10050, 54, 4.67337966498, talking
5073, 4705, 368, 15, 4.26006905187, talking
6145, 4705, 1440, 17, 5.9437582361, talking
9074, 5041, 4033, 21, 7.19179543697, talking
11394, 6177, 5217, 22, 7.5126474346, talking
12483, 9106, 3377, 18, 6.89716185885, talking
12675, 11442, 1233, 16, 5.38104484113, talking
12947, 12435, 512, 18, 4.74818186764, talking
12947, 12627, 320, 17, 4.11097301915, talking
13059, 12723, 336, 14, 4.15076015893, talking
13187, 12771, 416, 14, 4.5935013003, talking
13187, 12675, 512, 17, 4.64265997918, talking
12915, 12579, 336, 18, 4.1116669893, talking
12803, 12323, 480, 15, 4.32541702626, talking
12803, 12323, 480, 14, 4.24262622084, talking
12659, 12323, 336, 14, 4.0032470398, talking
12835, 12419, 416, 17, 4.25707999047, talking
12835, 12034, 801, 18, 4.72916400609, talking
12835, 11074, 1761, 17, 6.26220353701, talking
12050, 10770, 1280, 15, 5.82262296068, talking
11090, 10594, 496, 16, 4.69268044881, talking
13011, 10594, 2417, 20, 5.42291926318, talking
15107, 10642, 4465, 23, 7.22605247263, talking
15539, 13059, 2480, 17, 6.1053753851, talking
15667, 15107, 560, 14, 4.32349549464, talking
15987, 15443, 544, 13, 4.93297534983, talking
16468, 15635, 833, 13, 5.51528797351, talking
16932, 15971, 961, 13, 5.71580742604, talking
17124, 16468, 656, 15, 5.10653249985, talking
17124, 16820, 304, 14, 4.01916942644, talking
17060, 16772, 288, 14, 3.92043395753, talking
17044, 16772, 272, 15, 3.7528714695, talking
17172, 16804, 368, 15, 4.43847704355, talking
