@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {rest,clenched}

@DATA
40137, 2416, 37721, 6129, 6129, rest
40553, 2480, 38073, 7656, 7656, rest
41082, 2480, 38602, 7779, 7779, rest
41082, 2560, 38522, 6348, 6348, rest
40857, 2480, 38377, 6320, 6320, rest
40745, 292, 40453, 7917, 7917, rest
40745, 292, 40453, 7172, 7172, rest
40601, 2080, 38521, 6323, 6323, rest
40569, 2000, 38569, 7091, 7091, rest
40569, 1984, 38585, 7851, 7851, rest
40841, 1776, 39065, 6339, 6339, rest
40841, 1712, 39129, 6324, 6324, rest
40665, 1712, 38953, 7828, 7828, rest
40505, 2032, 38473, 7855, 7855, rest
40633, 1856, 38777, 6323, 6323, rest
40633, 1824, 38809, 6347, 6347, rest
40393, 1824, 38569, 7846, 7846, rest
40393, 1872, 38521, 7109, 7109, rest
40121, 1872, 38249, 6352, 6352, rest
40137, 1904, 38233, 7048, 7048, rest
40377, 1808, 38569, 7838, 7838, rest
40377, 1776, 38601, 6399, 6399, rest
40217, 1776, 38441, 6304, 6304, rest
40281, 1792, 38489, 7802, 7802, rest
40297, 1792, 38505, 7805, 7805, rest
40297, 1344, 38953, 6378, 6378, rest
40057, 1344, 38713, 6328, 6328, rest
39977, 1888, 38089, 7781, 7781, rest
39977, 1616, 38361, 7046, 7046, rest
39801, 1616, 38185, 6278, 6278, rest
39961, 1664, 38297, 7046, 7046, rest
39961, 1664, 38297, 7811, 7811, rest
39753, 1552, 38201, 6319, 6319, rest
39721, 1552, 38169, 6269, 6269, rest
39705, 1536, 38169, 7736, 7736, rest
39705, 1536, 38169, 7725, 7725, rest
39545, 1728, 37817, 6233, 6233, rest
39545, 1472, 38073, 6275, 6275, rest
39561, 1472, 38089, 7790, 7790, rest
39593, 1488, 38105, 6993, 6993, rest
39593, 1488, 38105, 6204, 6204, rest
39257, 1568, 37689, 6954, 6954, rest
39257, 1344, 37913, 7708, 7708, rest
38937, 1344, 37593, 6200, 6200, rest
38905, 1184, 37721, 6094, 6094, rest
38345, 944, 37401, 7575, 7575, rest
38313, 944, 37369, 7617, 7617, rest
38169, 688, 37481, 6098, 6098, rest
38169, 688, 37481, 6106, 6106, rest
38025, 928, 37097, 7526, 7526, rest
38025, 944, 37081, 6716, 6716, rest
37705, 880, 36825, 5998, 5998, rest
37385, 832, 36553, 6743, 6743, rest
37241, 800, 36441, 7387, 7387, rest
36696, 784, 35912, 5870, 5870, rest
35944, 496, 35448, 5788, 5788, rest
36456, 464, 35992, 7220, 7220, rest
36456, 464, 35992, 7153, 7153, rest
34232, 400, 33832, 5667, 5667, rest
34952, 384, 34568, 5749, 5749, rest
34968, 384, 34584, 7168, 7168, rest
34968, 336, 34632, 6416, 6416, rest
33752, 288, 33464, 5655, 5655, rest
33624, 288, 33336, 6337, 6337, rest
33960, 160, 33800, 6946, 6946, rest
33960, 160, 33800, 5576, 5576, rest
33416, 240, 33176, 5546, 5546, rest
33384, 64, 33320, 6753, 6753, rest
33368, 64, 33304, 6748, 6748, rest
32840, 224, 32616, 5533, 5533, rest
32840, 288, 32552, 5423, 5423, rest
32007, 288, 31719, 6606, 6606, rest
32007, 416, 31591, 5930, 5930, rest
31671, 416, 31255, 5282, 5282, rest
31799, 320, 31479, 5969, 5969, rest
31799, 32, 31767, 6481, 6481, rest
30327, 32, 30295, 5182, 5182, rest
31991, 96, 31895, 5221, 5221, rest
31991, 144, 31847, 6343, 6343, rest
30375, 112, 30263, 6275, 6275, rest
30215, 48, 30167, 5026, 5026, rest
29671, 0, 29671, 4975, 4975, rest
30183, 0, 30183, 6141, 6141, rest
30183, 240, 29943, 5557, 5557, rest
29591, 128, 29463, 4935, 4935, rest
29479, 128, 29351, 5456, 5456, rest
29479, 208, 29271, 5947, 5947, rest
28054, 208, 27846, 4757, 4757, rest
28502, 192, 28310, 4816, 4816, rest
29639, 160, 29479, 5928, 5928, rest
29639, 160, 29479, 5850, 5850, rest
28646, 288, 28358, 4803, 4803, rest
28646, 192, 28454, 4725, 4725, rest
28230, 32, 28198, 5631, 5631, rest
27926, 16, 27910, 5142, 5142, rest
27158, 16, 27142, 4629, 4629, rest
27158, 16, 27142, 4974, 4974, rest
27638, 16, 27622, 5485, 5485, rest
27638, 144, 27494, 4530, 4530, rest
26486, 144, 26342, 4515, 4515, rest
26662, 176, 26486, 5521, 5521, rest
26662, 176, 26486, 5442, 5442, rest
26006, 192, 25814, 4442, 4442, rest
26006, 304, 25702, 4457, 4457, rest
25894, 64, 25830, 5280, 5280, rest
25350, 64, 25286, 4690, 4690, rest
25174, 256, 24918, 4151, 4151, rest
25526, 80, 25446, 4727, 4727, rest
25526, 80, 25446, 5217, 5217, rest
24341, 96, 24245, 4079, 4079, rest
24069, 0, 24069, 4013, 4013, rest
23765, 0, 23765, 4908, 4908, rest
23477, 192, 23285, 4957, 4957, rest
23477, 0, 23477, 4041, 4041, rest
23093, 0, 23093, 4021, 4021, rest
23093, 0, 23093, 4724, 4724, rest
23589, 16, 23573, 4217, 4217, rest
23589, 0, 23589, 3822, 3822, rest
22357, 0, 22357, 4487, 4487, clenched
20965, 0, 20965, 3508, 3508, clenched
21061, 0, 21061, 3556, 3556, clenched
21061, 0, 21061, 4230, 4230, clenched
19780, 0, 19780, 3720, 3720, clenched
20052, 0, 20052, 3427, 3427, clenched
20052, 0, 20052, 3786, 3786, clenched
18916, 0, 18916, 4045, 4045, clenched
18916, 0, 18916, 3144, 3144, clenched
19268, 0, 19268, 3093, 3093, clenched
19268, 0, 19268, 3685, 3685, clenched
17380, 0, 17380, 3585, 3585, clenched
17380, 0, 17380, 2956, 2956, clenched
16275, 0, 16275, 2905, 2905, clenched
18052, 0, 18052, 3683, 3683, clenched
18052, 0, 18052, 3256, 3256, clenched
15763, 0, 15763, 2874, 2874, clenched
16131, 0, 16131, 3149, 3149, clenched
16131, 0, 16131, 3198, 3198, clenched
14467, 0, 14467, 2614, 2614, clenched
14483, 0, 14483, 2577, 2577, clenched
14483, 0, 14483, 2959, 2959, clenched
14995, 0, 14995, 2955, 2955, clenched
14995, 0, 14995, 2294, 2294, clenched
12675, 0, 12675, 2216, 2216, clenched
12499, 0, 12499, 2742, 2742, clenched
12595, 0, 12595, 2535, 2535, clenched
12595, 0, 12595, 2256, 2256, clenched
12515, 0, 12515, 2407, 2407, clenched
11698, 0, 11698, 2626, 2626, clenched
11698, 0, 11698, 2113, 2113, clenched
11378, 0, 11378, 2043, 2043, clenched
11394, 0, 11394, 2463, 2463, clenched
11394, 0, 11394, 2416, 2416, clenched
10962, 0, 10962, 1912, 1912, clenched
10402, 0, 10402, 1820, 1820, clenched
9202, 0, 9202, 2106, 2106, clenched
9202, 0, 9202, 1846, 1846, clenched
8001, 0, 8001, 1434, 1434, clenched
