@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
17860, -8065, 25925, 3746, 5.50911348483, talking
27815, -9506, 37321, 4392, 5.6280643549, talking
27815, -9586, 37401, 4464, 5.76625164345, talking
16228, -9586, 25814, 3997, 5.75025164345, talking
16228, -12035, 28263, 4044, 5.5800643549, talking
17108, -12035, 29143, 4103, 5.9027672943, talking
17108, -11923, 29031, 4023, 5.73059136638, talking
20340, -12355, 32695, 4352, 5.42619765692, talking
30455, -16852, 47307, 4232, 5.56471716998, talking
30455, -16852, 47307, 4239, 5.66763994811, talking
28070, -9330, 37400, 4051, 5.6726203981, talking
18228, -10610, 28838, 3777, 5.46125887643, talking
16948, -10610, 27558, 3809, 5.42125887643, talking
15940, -13796, 29736, 3840, 5.58202525488, talking
17812, -13796, 31608, 3995, 5.70659136638, talking
17812, -14595, 32407, 3931, 5.6280643549, talking
21061, -14595, 35656, 3845, 5.49809393482, talking
21061, -11923, 32984, 4192, 5.76927119345, talking
23525, -11923, 35448, 4467, 5.84072819428, talking
27078, -15107, 42185, 4609, 5.63514920904, talking
27078, -15107, 42185, 4185, 5.62763994811, talking
19492, -11026, 30518, 3981, 5.76127119345, talking
19492, -12787, 32279, 4607, 5.66412965904, talking
19108, -13651, 32759, 4600, 5.71514920904, talking
16820, -13651, 30471, 4320, 5.92578956824, talking
16820, -13395, 30215, 4111, 5.87778956824, talking
15572, -13395, 28967, 3914, 5.47409393482, talking
15572, -15636, 31208, 3946, 5.4292391535, talking
23637, -15636, 39273, 4163, 5.58540363323, talking
23637, -13267, 36904, 4204, 5.47419765692, talking
20901, -25030, 45931, 4506, 5.58071716998, talking
19829, -25030, 44859, 4471, 5.6406203981, talking
23526, -13204, 36730, 4118, 5.53740363323, talking
23526, -22741, 46267, 3871, 5.45321720693, talking
20949, -22741, 43690, 3566, 5.4212391535, talking
18517, -13363, 31880, 3648, 5.52494703563, talking
18517, -13363, 31880, 3814, 5.78065333372, talking
22229, -12274, 34503, 4354, 6.03533596346, talking
22229, -51196, 73425, 5228, 6.13623655271, talking
18101, -51196, 69297, 4621, 6.36849019393, talking
18101, -11267, 29368, 3798, 6.58844559829, talking
15204, -11523, 26727, 3807, 6.81045193451, talking
18340, -11523, 29863, 3886, 6.70530115522, talking
18340, -47867, 66207, 4530, 6.51791723211, talking
50236, -47867, 98103, 4960, 6.48584626142, talking
50236, -8177, 58413, 4307, 6.459441425, talking
17461, -14308, 31769, 4099, 6.33362572427, talking
17461, -14308, 31769, 4181, 6.34464527428, talking
20709, -10995, 31704, 4022, 6.22002513713, talking
21174, -11970, 33144, 4052, 6.27904468714, talking
26758, -14467, 41225, 4343, 6.31747064392, talking
26758, -14467, 41225, 4982, 6.4226843743, talking
22949, -13315, 36264, 4748, 6.54788536143, talking
21333, -11891, 33224, 4114, 6.29806423715, talking
21333, -11891, 33224, 3912, 6.30606423715, talking
15620, -10978, 26598, 3739, 6.40911099171, talking
15620, -10978, 26598, 3855, 6.34212404968, talking
19589, -11666, 31255, 4100, 6.20105283161, talking
19589, -11666, 31255, 3965, 6.07382633424, talking
25398, -11427, 36825, 4033, 6.32578428466, talking
25398, -10387, 35785, 4129, 6.37950974394, talking
18164, -10387, 28551, 4180, 6.30978428466, talking
18164, -12099, 30263, 3935, 6.33378428466, talking
16772, -14067, 30839, 3661, 6.27904468714, talking
15908, -14067, 29975, 3779, 6.29076473465, talking
20837, -11587, 32424, 3848, 6.19681198458, talking
20837, -65535, 86372, 4691, 6.25504468714, talking
17236, -65535, 82771, 4919, 6.50548052501, talking
17844, -25446, 43290, 4002, 6.31996865327, talking
19572, -25446, 45018, 4321, 6.41714359969, talking
25654, -7602, 33256, 4478, 6.54788536143, talking
25654, -7602, 33256, 4462, 6.58493678212, talking
21909, -7570, 29479, 4418, 6.48948052501, talking
23429, -11730, 35159, 4033, 6.26894910327, talking
23429, -12867, 36296, 4024, 6.09758503992, talking
17525, -12867, 30392, 4021, 6.23091000325, talking
17525, -9554, 27079, 4235, 6.54068948418, talking
17685, -10850, 28535, 4702, 6.62844559829, talking
29063, -10850, 39913, 4442, 6.68907327328, talking
29063, -10418, 39481, 4363, 6.4140914417, talking
22805, -10418, 33223, 4253, 6.00913867751, talking
24806, -15140, 39946, 4052, 6.01276653843, talking
24806, -15140, 39946, 3769, 5.9741191275, talking
18436, -11763, 30199, 3443, 5.97841432058, talking
36760, -11763, 48523, 3559, 6.09284588425, talking
36760, -15683, 52443, 3887, 5.93273879238, talking
26135, -15683, 41818, 4345, 6.06884588425, talking
26135, -9282, 35417, 4279, 6.24407238162, talking
21765, -9282, 31047, 4305, 6.4226843743, talking
32071, -15300, 47371, 4696, 6.42212404968, talking
32071, -15300, 47371, 4824, 5.9661191275, talking
21061, -9411, 30472, 4370, 6.05133596346, talking
18676, -12915, 31591, 4066, 6.19183153459, talking
19173, -12915, 32088, 4073, 6.15358503992, talking
19861, -11442, 31303, 4223, 6.21583153459, talking
28983, -8626, 37609, 4252, 6.18383153459, talking
28983, -22757, 51740, 4257, 5.96241432058, talking
19060, -22757, 41817, 4132, 5.95259448012, talking
19108, -10387, 29495, 3800, 6.20783153459, talking
24854, -11747, 36601, 3759, 6.11358503992, talking
24854, -13555, 38409, 3830, 6.07684588425, talking
20613, -13555, 34168, 4157, 6.11856548991, talking
20613, -12931, 33544, 4424, 6.10582633424, talking
18325, -12931, 31256, 5020, 6.05578608844, talking
19141, -10498, 29639, 4586, 6.26304468714, talking
19141, -9826, 28967, 3814, 6.19305283161, talking
17541, -8482, 26023, 4238, 6.0821974527, talking
17541, -11971, 29512, 4272, 6.17779243457, talking
18164, -11971, 30135, 3883, 5.91477001823, talking
18164, -7170, 25334, 3707, 5.91371924237, talking
23494, -8242, 31736, 3904, 6.06733596346, talking
23494, -10499, 33993, 3792, 6.08333596346, talking
38825, -10499, 49324, 3898, 5.7589460806, talking
38825, -11827, 50652, 4217, 5.71459136638, talking
27734, -11827, 39561, 3919, 5.97961403013, talking
16388, -13171, 29559, 3870, 5.83574774429, talking
17924, -13171, 31095, 3950, 6.04778608844, talking
17924, -9602, 27526, 3806, 6.04778608844, talking
26198, -9602, 35800, 3621, 5.82450722715, talking
26198, -15251, 41449, 3681, 5.94459448012, talking
23493, -15251, 38744, 3679, 6.07978608844, talking
23493, -16612, 40105, 3962, 5.6486203981, talking
21493, -18421, 39914, 4593, 5.57900570488, talking
21493, -18421, 39914, 4527, 5.89077001823, talking
19845, -16500, 36345, 4368, 5.84872819428, talking
19845, -12051, 31896, 3868, 5.94761403013, talking
15540, -16820, 32360, 3681, 6.28407238162, talking
16948, -16820, 33768, 3971, 6.07533596346, talking
19156, -14372, 33528, 3885, 5.85174774429, talking
19156, -16084, 35240, 4076, 5.84374774429, talking
18372, -16084, 34456, 4194, 6.09133596346, talking
19860, -11059, 30919, 3884, 6.18199439184, talking
19860, -11059, 30919, 3895, 5.99533596346, talking
18468, -9170, 27638, 4205, 5.83975046822, talking
18468, -10162, 28630, 4174, 5.77796563061, talking
15636, -10162, 25798, 3451, 5.69059136638, talking
20325, -7553, 27878, 3501, 5.79748767714, talking
20325, -8386, 28711, 4081, 5.73859136638, talking
18372, -11874, 30246, 4029, 5.83665333372, talking
18372, -16709, 35081, 3806, 6.00113867751, talking
16244, -16709, 32953, 3933, 5.96059448012, talking
14932, -15891, 30823, 4329, 5.93161403013, talking
14932, -15891, 30823, 3911, 5.81567288373, talking
13299, -16452, 29751, 3620, 5.81672819428, talking
25270, -16452, 41722, 4203, 6.07178608844, talking
25270, -16692, 41962, 4475, 5.89168014235, talking
23382, -16692, 40074, 4081, 6.01041432058, talking
20533, -10499, 31032, 3955, 5.79967288373, talking
20533, -12115, 32648, 4159, 5.55671716998, talking
16132, -12115, 28247, 3994, 5.75825164345, talking
13155, -16644, 29799, 3722, 5.97774698842, talking
24774, -16644, 41418, 3760, 5.83175046822, talking
24774, -11267, 36041, 3925, 5.89771924237, talking
16436, -9970, 26406, 3906, 6.0221191275, talking
16436, -10307, 26743, 3717, 5.92361403013, talking
20853, -10307, 31160, 3626, 6.03835551347, talking
20853, -8482, 29335, 3581, 5.93841432058, talking
19092, -10818, 29910, 4055, 5.92473879238, talking
19092, -12291, 31383, 3911, 5.81265333372, talking
23318, -12291, 35609, 3760, 5.86375046822, talking
23318, -14532, 37850, 3789, 5.73959468369, talking
22645, -14532, 37177, 3836, 5.68757181637, talking
22645, -11523, 34168, 4011, 5.6600643549, talking
17780, -14595, 32375, 4032, 5.76996563061, talking
17780, -14595, 32375, 4028, 5.64363994811, talking
17637, -15460, 33097, 3789, 5.62504480489, talking
26438, -15460, 41898, 3822, 5.87975046822, talking
26438, -20356, 46794, 4063, 5.94761403013, talking
19636, -20356, 39992, 4118, 5.78527119345, talking
19636, -17844, 37480, 3229, 5.66763994811, talking
14132, -10610, 24742, 2790, 5.55369761997, talking
14387, -10243, 24630, 3211, 5.53271716998, talking
22197, -10210, 32407, 3481, 5.67655226636, talking
24598, -10210, 34808, 3971, 5.77348767714, talking
24598, -12932, 37530, 4070, 5.73859136638, talking
23285, -16772, 40057, 3978, 5.70412965904, talking
23285, -65535, 88820, 4540, 5.73796563061, talking
14883, -65535, 80418, 4363, 5.58960084809, talking
15252, -11347, 26599, 3335, 5.51694703563, talking
16404, -12963, 29367, 3082, 5.57402525488, talking
16404, -12963, 29367, 3159, 5.75748767714, talking
14323, -19268, 33591, 3570, 5.86178956824, talking
19636, -19268, 38904, 3981, 5.86978956824, talking
22437, -15492, 37929, 4277, 5.72392653059, talking
22437, -10707, 33144, 4244, 5.54894703563, talking
19749, -15363, 35112, 4012, 5.6200643549, talking
19749, -15363, 35112, 3899, 5.84872819428, talking
14708, -11187, 25895, 3591, 5.77727119345, talking
19892, -11187, 31079, 3855, 5.74527119345, talking
19892, -17780, 37672, 3838, 5.77348767714, talking
24038, -17780, 41818, 3755, 5.69114920904, talking
24038, -11282, 35320, 3894, 5.75327119345, talking
22821, -11506, 34327, 3910, 5.97713867751, talking
21493, -11506, 32999, 4072, 6.12823655271, talking
21493, -16244, 37737, 3929, 5.81265333372, talking
20468, -16244, 36712, 3671, 5.67514920904, talking
17172, -10978, 28150, 3713, 5.87574774429, talking
17172, -16340, 33512, 3488, 5.85974774429, talking
18292, -16340, 34632, 3638, 5.95259448012, talking
18292, -12851, 31143, 3477, 5.8337113682, talking
20917, -10947, 31864, 3242, 5.62763994811, talking
20917, -10962, 31879, 3418, 5.52511348483, talking
28118, -10962, 39080, 3896, 5.80927119345, talking
28679, -14323, 43002, 4412, 6.00913867751, talking
28679, -14323, 43002, 4056, 5.90957493011, talking
16500, -16388, 32888, 3962, 6.03835551347, talking
19780, -19189, 38969, 4833, 5.97713867751, talking
19780, -19189, 38969, 4588, 5.86367288373, talking
15059, -14915, 29974, 4001, 5.8867672943, talking
15059, -10419, 25478, 3470, 5.73796563061, talking
15764, -10770, 26534, 3563, 5.75825164345, talking
15764, -13524, 29288, 3969, 5.77348767714, talking
18852, -13524, 32376, 3984, 5.6326203981, talking
18852, -10115, 28967, 3890, 5.70714920904, talking
16020, -9394, 25414, 3610, 5.97161403013, talking
28823, -11218, 40041, 3831, 6.00241432058, talking
28823, -11218, 40041, 4059, 5.95673879238, talking
19956, -16148, 36104, 4013, 5.80927119345, talking
19956, -16148, 36104, 4062, 5.78225164345, talking
22838, -14355, 37193, 4020, 5.78148767714, talking
22838, -33336, 56174, 4435, 5.65963994811, talking
16740, -33336, 50076, 4533, 5.73059136638, talking
21957, -24742, 46699, 4224, 5.60140363323, talking
21957, -15635, 37592, 4210, 5.8483287324, talking
18453, -9714, 28167, 4107, 5.92859448012, talking
17076, -9714, 26790, 3553, 5.58071716998, talking
12451, -8370, 20821, 3340, 5.46921720693, talking
15748, -9442, 25190, 3306, 5.52667806997, talking
15748, -21301, 37049, 3399, 5.6246203981, talking
