@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE FFT_intensity NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
27815, -9586, 37401, 4106, 6.23333107051, 88243.1774907, talking
27815, -12035, 39850, 4265, 6.28434939956, 90328.7039642, talking
17108, -12035, 29143, 4049, 6.2718931429, 84667.8504022, talking
30455, -16852, 47307, 4132, 6.22435062052, 89329.6764393, talking
30455, -16852, 47307, 4134, 6.19772259492, 90978.8723813, talking
28070, -10610, 38680, 3928, 6.13182052353, 85978.9460194, talking
17812, -13796, 31608, 3896, 6.12551958638, 82468.1004054, talking
21061, -14595, 35656, 3919, 6.20723236992, 83762.060374, talking
23525, -14595, 38120, 4149, 6.25861988403, 88614.3713892, talking
27078, -15107, 42185, 4334, 6.30709772596, 88393.7232883, talking
27078, -15107, 42185, 4413, 6.23438336789, 88750.8197964, talking
19492, -13651, 33143, 4455, 6.41987840395, 88831.0083737, talking
16820, -13651, 30471, 4117, 6.28736894957, 83413.0279904, talking
23637, -15636, 39273, 4036, 6.12631074852, 86654.995002, talking
23637, -25030, 48667, 4336, 6.14853913638, 95366.5807681, talking
23526, -25030, 48556, 4313, 6.16302936138, 92266.1376578, talking
23526, -22741, 46267, 3839, 6.04858415982, 83879.7844804, talking
20949, -22741, 43690, 3709, 6.18451547988, 83923.2730859, talking
22229, -51196, 73425, 4531, 6.58968526462, 105767.975853, talking
22229, -51196, 73425, 4513, 7.05510449967, 103364.42265, talking
18340, -11523, 29863, 3843, 7.31351176486, 81455.0463364, talking
50236, -47867, 98103, 4436, 7.22489672326, 107977.314078, talking
50236, -47867, 98103, 4522, 7.06042187499, 105360.668331, talking
20709, -14308, 35017, 4055, 6.91956062418, 79345.8018194, talking
26758, -14467, 41225, 4189, 6.88782900274, 86715.8577442, talking
26758, -14467, 41225, 4550, 7.09258166669, 93891.9206904, talking
22949, -13315, 36264, 4322, 7.08388661633, 89598.7740086, talking
21333, -11891, 33224, 3886, 6.96623540964, 80163.3580101, talking
19589, -11666, 31255, 3921, 6.80150395659, 81221.9538103, talking
25398, -11666, 37064, 4043, 6.87949519844, 87620.370713, talking
25398, -12099, 37497, 4061, 7.00612904921, 86568.0639302, talking
