@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE FFT_intensity NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
27815, -12035, 39850, 4083, 6.80582641058, 121833.652521, talking
30455, -16852, 47307, 4094, 6.75280174549, 124540.33235, talking
30455, -16852, 47307, 4014, 6.7043449832, 123405.035725, talking
23525, -14595, 38120, 4022, 6.7526411178, 118820.378365, talking
27078, -15107, 42185, 4285, 6.77224533586, 120748.06503, talking
27078, -15107, 42185, 4261, 6.79556123401, 121628.692911, talking
23637, -25030, 48667, 4225, 6.75280174549, 125535.808674, talking
23637, -25030, 48667, 4088, 6.64359806079, 124709.185526, talking
23526, -51196, 74722, 4194, 6.8677875651, 131844.830944, talking
22229, -51196, 73425, 4188, 7.54552152416, 130784.290036, talking
50236, -47867, 98103, 4189, 7.75647453276, 132021.073496, talking
50236, -47867, 98103, 4352, 7.5534523915, 134018.11935, talking
26758, -14467, 41225, 4258, 7.57282818497, 123526.749556, talking
22949, -13315, 36264, 4123, 7.51198264451, 119905.049821, talking
25398, -12099, 37497, 3989, 7.505628632, 118324.297335, talking
25398, -65535, 90933, 4147, 7.52624730702, 133104.032897, talking
25654, -65535, 91189, 4274, 7.54613406292, 136774.076967, talking
25654, -25446, 51100, 4248, 7.56906094661, 128852.380712, talking
29063, -12867, 41930, 4289, 7.69673716527, 123069.445605, talking
29063, -15140, 44203, 4175, 7.52696376021, 125090.016303, talking
36760, -15683, 52443, 3978, 7.19272448427, 128392.61397, talking
36760, -15683, 52443, 4267, 7.3296842, 131167.713477, talking
32071, -15300, 47371, 4365, 7.38595144091, 130026.626515, talking
28983, -22757, 51740, 4088, 7.29938372392, 122647.532736, talking
28983, -22757, 51740, 4075, 7.23536485641, 122423.972719, talking
24854, -13555, 38409, 4277, 7.3354678952, 121500.270331, talking
23494, -11971, 35465, 4158, 7.22683553139, 117953.373467, talking
38825, -11971, 50796, 3901, 7.08154610755, 120011.59787, talking
38825, -13171, 51996, 3845, 7.04608830909, 122306.874843, talking
26198, -18421, 44619, 3952, 7.00958011436, 123699.493381, talking
23493, -18421, 41914, 4073, 7.1290691215, 124822.00144, talking
19845, -16820, 36665, 4025, 7.18404092747, 121488.605224, talking
19860, -16084, 35944, 4025, 7.07980375647, 119410.468375, talking
20325, -11874, 32199, 3888, 7.01019886927, 115820.374618, talking
20325, -16709, 37034, 3840, 6.96539917579, 113872.002101, talking
25270, -16709, 41979, 4033, 7.09425161758, 118779.05175, talking
25270, -16692, 41962, 4050, 7.017585529, 117665.982496, talking
24774, -16644, 41418, 3889, 6.98190612339, 115485.491998, talking
24774, -12291, 37065, 3782, 7.05252162686, 115611.646737, talking
23318, -14532, 37850, 3819, 6.90673649383, 120606.218735, talking
26438, -15460, 41898, 3909, 6.85833621605, 123292.700697, talking
26438, -20356, 46794, 3691, 6.8055691411, 114045.591199, talking
24598, -20356, 44954, 3623, 6.76692460136, 111052.466913, talking
24598, -65535, 90133, 3858, 6.75716085429, 128693.07972, talking
23285, -65535, 88820, 3749, 6.8002777901, 125564.874071, talking
22437, -19268, 41705, 3810, 6.84521882497, 114513.828202, talking
24038, -17780, 41818, 3929, 6.79551944788, 113683.783368, talking
24038, -17780, 41818, 3851, 6.92140628656, 116653.674105, talking
22821, -16340, 39161, 3787, 7.06879122005, 116944.371497, talking
28118, -16340, 44458, 3612, 6.89519425421, 111855.302235, talking
28679, -19189, 47868, 3996, 6.93199233438, 122853.690596, talking
28679, -19189, 47868, 4105, 7.02292623382, 123503.454932, talking
18852, -14915, 33767, 3795, 6.94959788221, 111257.989716, talking
28823, -16148, 44971, 3930, 6.97695516158, 120037.684979, talking
28823, -33336, 62159, 4198, 6.89217597039, 130554.99545, talking
22838, -33336, 56174, 4026, 6.78256983036, 121178.475165, talking
19173, -21301, 40474, 3731, 6.94900779174, 110739.905641, talking
20277, -21301, 41578, 3826, 7.18776467505, 113433.003459, talking
27751, -15587, 43338, 3890, 7.1319112337, 111233.019759, talking
27751, -30711, 58462, 3920, 6.83118828584, 117282.41122, talking
22422, -30711, 53133, 3740, 6.61320686006, 117689.943504, talking
20453, -14388, 34841, 3602, 6.69532709336, 109454.816509, talking
28262, -14388, 42650, 3797, 6.84562276807, 116046.318518, talking
28262, -18596, 46858, 3781, 6.78904398221, 114317.994817, talking
22213, -18596, 40809, 3652, 6.8043134354, 111782.258658, talking
22213, -14259, 36472, 3636, 6.68103770842, 111049.18717, talking
18148, -11826, 29974, 3601, 6.60232711674, 108487.695378, talking
19316, -11826, 31142, 3605, 6.73476681482, 109364.778127, talking
20613, -16276, 36889, 3833, 6.68944466394, 122306.443448, talking
24790, -16276, 41066, 4057, 6.94073649383, 125384.308374, talking
24902, -14212, 39114, 3848, 7.09043993102, 116400.763883, talking
24902, -12274, 37176, 3625, 6.99311686241, 108837.37006, talking
21685, -12274, 33959, 3691, 7.09648764911, 111470.569188, talking
21685, -11075, 32760, 3807, 7.21217420209, 112532.04365, talking
20949, -11299, 32248, 3859, 7.30591772313, 116094.197003, talking
20949, -11299, 32248, 3547, 7.18056412625, 108850.309239, talking
18885, -13411, 32296, 3339, 7.11694187806, 101321.652548, talking
25911, -17204, 43115, 3892, 7.26532808016, 119456.517675, talking
25911, -17204, 43115, 3981, 7.27477427469, 121574.314248, talking
19541, -13955, 33496, 3606, 7.3479010156, 110162.360471, talking
19045, -12931, 31976, 3537, 7.48304206606, 104142.179933, talking
23717, -12931, 36648, 3635, 7.51117562269, 106888.043019, talking
25911, -12643, 38554, 4040, 7.48794080053, 118212.55714, talking
25911, -17780, 43691, 3915, 7.39994373853, 115060.300951, talking
18436, -17780, 36216, 3562, 7.29859857671, 104470.509698, talking
21557, -12803, 34360, 3763, 7.37432341447, 110959.694858, talking
21557, -12803, 34360, 3690, 7.39421610341, 111366.371198, talking
21685, -14420, 36105, 3703, 7.20876358429, 111171.916971, talking
21685, -40730, 62415, 3789, 7.12647748462, 117363.002681, talking
29927, -40730, 70657, 3724, 7.26224494968, 119804.140392, talking
29927, -14915, 44842, 3948, 7.25131566124, 117859.404811, talking
19269, -12643, 31912, 3799, 7.25435997337, 109521.801959, talking
19716, -38057, 57773, 3679, 7.33116588087, 113765.236338, talking
26614, -38057, 64671, 3815, 7.3973241936, 120447.697197, talking
26614, -10946, 37560, 3832, 7.43407202043, 117233.855996, talking
23317, -10946, 34263, 3841, 7.42282752162, 114331.035456, talking
23317, -12899, 36216, 3882, 7.48988338565, 110097.966905, talking
28775, -12899, 41674, 4104, 7.6712571473, 117736.417487, talking
28775, -17508, 46283, 3900, 7.68676654272, 115884.86626, talking
25478, -17508, 42986, 3712, 7.40046745239, 115233.247403, talking
33144, -15811, 48955, 3945, 7.2914428509, 121036.065199, talking
56829, -12210, 69039, 4079, 7.46253743744, 126321.370762, talking
56829, -17460, 74289, 3956, 7.32032135112, 122257.171958, talking
29079, -17460, 46539, 3775, 7.27450413182, 112533.595812, talking
29079, -25030, 54109, 3832, 7.29599800746, 115513.895258, talking
22470, -25030, 47500, 3946, 7.27257388688, 119599.944347, talking
21557, -14612, 36169, 3873, 7.20287454136, 118972.519488, talking
20789, -18628, 39417, 3886, 7.03094902369, 119665.547518, talking
22965, -18628, 41593, 3963, 7.09366152711, 118046.82729, talking
22965, -18420, 41385, 3978, 7.08357819398, 118811.802199, talking
28246, -18420, 46666, 3822, 7.0591021626, 111511.360937, talking
28246, -12483, 40729, 3620, 7.1049778741, 107757.174866, talking
27879, -12467, 40346, 3455, 7.03405931662, 104145.678648, talking
18564, -13187, 31751, 3397, 6.96863929954, 99883.2070727, talking
25382, -13187, 38569, 3649, 7.16084499051, 106710.05294, talking
25382, -14467, 39849, 3826, 7.23721866341, 109931.975578, talking
22181, -17908, 40089, 3673, 7.17790196198, 110085.854573, talking
22181, -17908, 40089, 3554, 7.11133770307, 107281.646842, talking
29431, -9490, 38921, 3745, 7.22572938438, 114305.062688, talking
39641, -14355, 53996, 4448, 8.94401719143, 149153.777765, chewing
39641, -14355, 53996, 4304, 8.42389904471, 144000.110208, chewing
35257, -11507, 46764, 4384, 8.32824958133, 136677.412411, chewing
40489, -11507, 51996, 4499, 9.00483024065, 148939.39728, chewing
40489, -11747, 52236, 4001, 8.53954648161, 140701.001214, chewing
35400, -12499, 47899, 4129, 8.42178334335, 138454.546111, chewing
35400, -14291, 49691, 4466, 8.81027731869, 142549.377173, chewing
32535, -14291, 46826, 4253, 8.38308315691, 134191.244897, chewing
42762, -14243, 57005, 4235, 8.69035990811, 138744.231432, chewing
56750, -12082, 68832, 4468, 9.25532831803, 167838.087841, chewing
56750, -10098, 66848, 4653, 9.20065002179, 186370.012341, chewing
46491, -18708, 65199, 4547, 8.70672970959, 160957.440604, chewing
44698, -18708, 63406, 4612, 9.04718515658, 170734.07653, chewing
44698, -10819, 55517, 4706, 9.00326119283, 173626.496647, chewing
49868, -10819, 60687, 4655, 8.59841146211, 162234.753189, chewing
52540, -9267, 61807, 4706, 8.99021938921, 170238.48043, chewing
52540, -63519, 116059, 4777, 8.80226004264, 173808.796038, chewing
47884, -63519, 111403, 4861, 9.12153838467, 186852.382046, chewing
47884, -25558, 73442, 4480, 8.98005629145, 170098.268356, chewing
49276, -25558, 74834, 4668, 8.78032767143, 172065.69086, chewing
60318, -11875, 72193, 4613, 9.2118054272, 184016.776703, chewing
60318, -7617, 67935, 4211, 8.93577255835, 162201.963512, chewing
39946, -9442, 49388, 4374, 8.99897496778, 153196.831966, chewing
38057, -9442, 47499, 4256, 8.7274815329, 141984.884845, chewing
55613, -7889, 63502, 4353, 8.94995541777, 158306.503984, chewing
55613, -8594, 64207, 4555, 9.20325395313, 183594.41403, chewing
56061, -21205, 77266, 4588, 8.92738390276, 170123.096223, chewing
56061, -21205, 77266, 4662, 9.41802534134, 195355.794382, chewing
50700, -12275, 62975, 4577, 9.15667977549, 174482.539617, chewing
47515, -14675, 62190, 4475, 8.70462601226, 172959.584382, chewing
47515, -14675, 62190, 4382, 8.66563881658, 155569.498459, chewing
56862, -10146, 67008, 4515, 9.08683389707, 173091.653588, chewing
56862, -11635, 68497, 4705, 9.31424563559, 188476.102507, chewing
53005, -11635, 64640, 4462, 8.65303042507, 161767.090346, chewing
55774, -9954, 65728, 4521, 9.00179058597, 178529.860822, chewing
55774, -15123, 70897, 4444, 8.94630188337, 171789.783468, chewing
52796, -15123, 67919, 4180, 8.68913672377, 153929.226872, chewing
52796, -12531, 65327, 4204, 9.01599451779, 162517.836476, chewing
47644, -7730, 55374, 4329, 8.63376613654, 151250.31417, chewing
21253, -12707, 33960, 4252, 8.05603325296, 126825.652348, chewing
29912, -55757, 85669, 4220, 8.30645992754, 146891.417095, chewing
29912, -55757, 85669, 4345, 8.6718925471, 150412.353966, chewing
26631, -10163, 36794, 3980, 8.74684939468, 128071.248778, chewing
26631, -9634, 36265, 4056, 8.99693581249, 131537.953197, chewing
30280, -11746, 42026, 4255, 8.71228182646, 141101.648393, chewing
43179, -12467, 55646, 4085, 8.57818328425, 146309.627444, chewing
43179, -12467, 55646, 4052, 8.91820254281, 142883.518132, chewing
27751, -14627, 42378, 4084, 8.93441678889, 131300.988175, chewing
46267, -14627, 60894, 3987, 8.94809914974, 148020.123587, chewing
62287, -13763, 76050, 4390, 9.11336580927, 185041.310921, chewing
62287, -13763, 76050, 4747, 9.30694086979, 198511.780176, chewing
54173, -10243, 64416, 4551, 9.32668163632, 183851.950325, chewing
50748, -10243, 60991, 4425, 8.90132553622, 176401.564521, chewing
48523, -8706, 57229, 4576, 8.68236134976, 158189.134013, chewing
48843, -8706, 57549, 4498, 9.12252121469, 178050.653296, chewing
48843, -7938, 56781, 3939, 8.97384080393, 150677.989554, chewing
